date,startTime,endTime,title,venue,city,ageRange,types,cost,tips,eventUrl,source,categoryTags,isRecurring,id
2026-08-29,11:15,12:15,Parent & Baby Yoga with Marti Foster,Pioneer Memorial Park,Mountain View,0–2,Classes; Outdoor,Paid,"Weather permitting — check with Marti if rain is likely.
Bring a large blanket, yoga mat, long scarf, baby carrier, and water.
Limited to about 8 moms with babies — register ahead.
Register at martifosteryoga.com.",https://martifosteryoga.com/baby-yoga-outdoors,Calendar Watchlist · Marti Foster Yoga,Parent & Me; Priority: strong test,true,watchlist-marti-parent-baby-2026-08-29
2026-08-31,09:30,10:30,FIT4MOM Stroller Strides · Cuesta Park,Cuesta Park,Mountain View,"0–2, 2–5",Classes; Outdoor,Paid,"Times verified from August WEEKLY CLASSES graphic on sunnyvale.fit4mom.com/schedule (fetched Aug 27, 2026). Re-check Mondays when September graphic posts.
Meet in grassy area between tennis-court parking and playground (Sat uses playgroup gazebo).
Rain: St. Timothy’s overhang, 2094 Grant Rd.
Pre-enroll for weather emails. First class often free.",https://sunnyvale.fit4mom.com/schedule,Calendar Watchlist · FIT4MOM Silicon Valley Central,Parent & Me,true,watchlist-fit4mom-stroller-strides-cuesta-2026-08-31
2026-09-01,09:30,10:30,FIT4MOM Stroller Strides · Las Palmas Park,Las Palmas Park,Sunnyvale,"0–2, 2–5",Classes; Outdoor,Paid,"Times verified from August WEEKLY CLASSES graphic on sunnyvale.fit4mom.com/schedule (fetched Aug 27, 2026). Re-check Mondays when September graphic posts. Pre-enroll for weather updates.",https://sunnyvale.fit4mom.com/schedule,Calendar Watchlist · FIT4MOM Silicon Valley Central,Parent & Me,true,watchlist-fit4mom-stroller-strides-laspalmas-2026-09-01
2026-09-01,11:15,12:15,FIT4MOM Mommy & Baby Yoga · Las Palmas Park,Las Palmas Park,Sunnyvale,0–2,Classes; Outdoor,Paid,"Times verified from August WEEKLY CLASSES graphic on sunnyvale.fit4mom.com/schedule (fetched Aug 27, 2026). Re-check Mondays when September graphic posts.
Bring a yoga mat / blanket.",https://sunnyvale.fit4mom.com/schedule,Calendar Watchlist · FIT4MOM Silicon Valley Central,Parent & Me,true,watchlist-fit4mom-mommy-baby-yoga-laspalmas-2026-09-01
2026-09-02,09:30,10:30,FIT4MOM Stroller Barre · Cuesta Park,Cuesta Park,Mountain View,"0–2, 2–5",Classes; Outdoor,Paid,"Times verified from August WEEKLY CLASSES graphic on sunnyvale.fit4mom.com/schedule (fetched Aug 27, 2026). Re-check Mondays when September graphic posts.
Rain: St. Timothy’s overhang, 2094 Grant Rd.",https://sunnyvale.fit4mom.com/schedule,Calendar Watchlist · FIT4MOM Silicon Valley Central,Parent & Me,true,watchlist-fit4mom-stroller-barre-cuesta-2026-09-02
2026-09-02,10:45,11:45,FIT4MOM Fourth Trimester+ · Cuesta Park,Cuesta Park,Mountain View,0–2,Classes; Outdoor,Paid,"Times verified from August WEEKLY CLASSES graphic on sunnyvale.fit4mom.com/schedule (fetched Aug 27, 2026). Re-check Mondays when September graphic posts.
Confirm format on-site if unsure whether babies participate vs watch.",https://sunnyvale.fit4mom.com/schedule,Calendar Watchlist · FIT4MOM Silicon Valley Central,Parent & Me,true,watchlist-fit4mom-fourth-trimester-cuesta-2026-09-02
2026-09-03,10:00,11:00,FIT4MOM Stroller Barre · Mitchell Park,Mitchell Park,Palo Alto,"0–2, 2–5",Classes; Outdoor,Paid,"Times verified from August WEEKLY CLASSES graphic on sunnyvale.fit4mom.com/schedule (fetched Aug 27, 2026). Re-check Mondays when September graphic posts.
Meet at multi-purpose area/bowl.
Rain: overhang by Mitchell Park Library / Ada’s Cafe.",https://sunnyvale.fit4mom.com/schedule,Calendar Watchlist · FIT4MOM Silicon Valley Central,Parent & Me,true,watchlist-fit4mom-stroller-barre-mitchell-2026-09-03
2026-09-04,09:30,10:30,FIT4MOM Stroller Strides · Cuesta Park,Cuesta Park,Mountain View,"0–2, 2–5",Classes; Outdoor,Paid,"Times verified from August WEEKLY CLASSES graphic on sunnyvale.fit4mom.com/schedule (fetched Aug 27, 2026). Re-check Mondays when September graphic posts.
Rain: St. Timothy’s overhang, 2094 Grant Rd.",https://sunnyvale.fit4mom.com/schedule,Calendar Watchlist · FIT4MOM Silicon Valley Central,Parent & Me,true,watchlist-fit4mom-stroller-strides-cuesta-2026-09-04
2026-09-05,09:30,10:30,FIT4MOM Family Strides 360 · Cuesta Park,Cuesta Park,Mountain View,"0–2, 2–5",Classes; Outdoor,Paid,"Times verified from August WEEKLY CLASSES graphic on sunnyvale.fit4mom.com/schedule (fetched Aug 27, 2026). Re-check Mondays when September graphic posts.
Sat meet near playgroup gazebo/stairs; park on Cuesta Dr near playground.",https://sunnyvale.fit4mom.com/schedule,Calendar Watchlist · FIT4MOM Silicon Valley Central,Parent & Me,true,watchlist-fit4mom-family-strides-cuesta-2026-09-05
2026-09-05,11:15,12:15,Parent & Baby Yoga with Marti Foster,Pioneer Memorial Park,Mountain View,0–2,Classes; Outdoor,Paid,"Weather permitting — check with Marti if rain is likely.
Bring a large blanket, yoga mat, long scarf, baby carrier, and water.
Limited to about 8 moms with babies — register ahead.
Register at martifosteryoga.com.",https://martifosteryoga.com/baby-yoga-outdoors,Calendar Watchlist · Marti Foster Yoga,Parent & Me; Priority: strong test,true,watchlist-marti-parent-baby-2026-09-05
2026-09-09,09:30,,Music Together — Fall Mixed Ages,Unity Church · Music Together Palo Alto,Palo Alto,"0–2, 2–5",Music & Movement; Classes,Paid,"Weekly · registration required (semester package, not drop-in).
Starts Sep 9 / Sep 14 · 10-week series.
Open seats as of Aug 27: Mon 9:30, 10:30, 11:30; Wed 9:30, 10:30; Fri 11:30. Fri 9:30 & 10:30 waitlist.
Free demo visit available before enrolling.
Register at mt-mp.com.",https://www.mt-mp.com/vlt198021.htm,Calendar Watchlist · Music Together MP/PA,Parent & Me; Series · do not explode weekly; Priority: definitely add,true,watchlist-mt-pa-fall-mixed-ages-2026
2026-09-12,11:15,12:15,Parent & Baby Yoga with Marti Foster,Pioneer Memorial Park,Mountain View,0–2,Classes; Outdoor,Paid,"Weather permitting — check with Marti if rain is likely.
Bring a large blanket, yoga mat, long scarf, baby carrier, and water.
Limited to about 8 moms with babies — register ahead.
Register at martifosteryoga.com.",https://martifosteryoga.com/baby-yoga-outdoors,Calendar Watchlist · Marti Foster Yoga,Parent & Me; Priority: strong test,true,watchlist-marti-parent-baby-2026-09-12
2026-09-19,09:00,10:00,Parent & Me Yoga at Gamble Garden,Elizabeth F. Gamble Garden,Palo Alto,2–5,Classes; Outdoor,Paid,"Lower priority: official ages 4–8 (only 4–5 overlap Puddles).
VERIFY TIME before publish: header says 9:00–10:00am; details elsewhere say 9:00–10:30am.
Bring a large towel, blanket, or two yoga mats.
Members: Adult $16 / Child $8. Non-members: Adult $20 / Child $10.
Register at gamblegarden.org.",https://www.gamblegarden.org/event/yoga/,Calendar Watchlist · Gamble Garden,Parent & Me; Priority: lower; Ages 4–8 listed; Verify time,false,watchlist-gamble-parent-me-yoga-2026-09-19
2026-09-19,11:15,12:15,Parent & Baby Yoga with Marti Foster,Pioneer Memorial Park,Mountain View,0–2,Classes; Outdoor,Paid,"Weather permitting — check with Marti if rain is likely.
Bring a large blanket, yoga mat, long scarf, baby carrier, and water.
Limited to about 8 moms with babies — register ahead.
Register at martifosteryoga.com.",https://martifosteryoga.com/baby-yoga-outdoors,Calendar Watchlist · Marti Foster Yoga,Parent & Me; Priority: strong test,true,watchlist-marti-parent-baby-2026-09-19
