date,startTime,endTime,title,venue,room,address,ageRange,types,cost,tips,audiences,eventUrl,alreadyOnPuddles,description
2026-09-01,10:30,11:00,Family Storytime,Children's Library,Secret Garden,"1276  Harriet Street, Palo Alto, CA 94301",2–5,Stories,Free,"Please note that this storytime is an indoor/outdoor program.
Access to the Secret Garden outside is weather dependent.",Babies (under 2); Kids (6-11); Pre-schoolers (3-5); Toddlers (18 mos. to 3 yrs),https://paloalto.bibliocommons.com/events/699f624cb0595799c09f604b,yes,"Join Librarian Jennifer (and Rocky Raccoon) on Tuesdays at 10:30 AM for Family Storytime at Children's Library! Come sing, rhyme, and read stories with us! While this storytime will be geared towards those older than 2 years, all ages are welcome! Storytime will be held inside when the garden is unavailable. Make sure to follow us on YouTube for more stories, songs and rhymes, including a playlist of all of our favorite songs to sing!"
2026-09-01,16:00,17:00,LEGO Tuesdays!,Downtown Library,El Camino Room,"270 Forest Ave., Palo Alto, CA 94301","0–2, 2–5, 5+",Build & Explore,Free,LEGOs stay at the library — snap a pic of creations!,Kids (6-11); Pre-schoolers (3-5); Toddlers (18 mos. to 3 yrs); Tweens (11-13),https://paloalto.bibliocommons.com/events/68afa7b0022de53d00d27176,yes,"We have the LEGOs! Bring your imagination and build something fun! In addition to being a great way to introduce the engineering and art concepts of STEAM, playing with LEGO’s supports early childhood development because children engage in problem solving, teamwork, self-confidence, and creativity!"
2026-09-02,10:30,11:00,Little Ones Storytime,Children's Library,Treetop Room,"1276  Harriet Street, Palo Alto, CA 94301",0–2,Stories,Free,,Babies (under 2); Toddlers (18 mos. to 3 yrs),https://paloalto.bibliocommons.com/events/6946001eea69de6e001069ad,yes,"Join Librarian Heidi on Wednesday mornings at 10:30AM for Little Ones Storytime at Children's Library. Storytime includes a variety of early literacy activities such as stories, songs, rhymes, and movement activities. Storytime is a fun and interactive experience for the whole family that promotes the joys of reading and learning for all ages."
2026-09-02,18:30,19:15,Music & Movement,Mitchell Park Library,,"3700 Middlefield Rd, Palo Alto, CA 94303","0–2, 2–5, 5+",Stories,Free,,Babies (under 2); Kids (6-11); Pre-schoolers (3-5); Toddlers (18 mos. to 3 yrs),https://paloalto.bibliocommons.com/events/6a3dbc0bfddb082f00fe149a,yes,"Bring your dancing feet to the Mitchell Park Library on Wednesday evenings for Music & Movement with Librarian Celina. Build early literacy skills through movement, songs, and dance.

 Instruments, songs, and dance moves will all be introduced so that everyone will be able to enjoy moving along to the music.

 This program is meant for families with children and no previous experience is needed!
 On September 2 and 9, we'll be celebrating Deaf Awareness Month by learning simple signs for families to practice together!"
2026-09-03,10:30,11:00,Bilingual Family Storytime,College Terrace Library,,"2300  Wellesley St., Palo Alto, CA 94306","0–2, 2–5",Stories,Free,Storytime may be held indoors or outdoors depending on the weather.,Babies (under 2); Pre-schoolers (3-5); Toddlers (18 mos. to 3 yrs),https://paloalto.bibliocommons.com/events/69276b597eb3e430002638af,yes,"Join Señorita Juliana for Bilingual Family Storytime at the College Terrace Library! Enjoy stories, songs, rhymes, and movement activities in Spanish and English . Thursdays from 10:30-11 AM. Follow us on YouTube for more stories, songs, and rhymes, including a playlist of our favorites! ¡Participa con la Señorita Juliana en la Hora Cuentos Bilingüe en la Biblioteca College Terrace! Disfruta de cuentos, canciones, rimas y actividades con movimiento en Español e Inglés . Jueves de 10:30-11 AM. La Hora de Cuentos se realizará adentro o al aire libre, dependiendo del clima. ¡Síguenos en YouTube para ver más cuentos, canciones y rimas, incluyendo una lista de reproducción con nuestros favoritos!"
2026-09-04,10:30,11:00,Family Storytime,Downtown Library,El Camino Room,"270 Forest Ave., Palo Alto, CA 94301",2–5,Stories,Free,,Babies (under 2); Kids (6-11); Pre-schoolers (3-5),https://paloalto.bibliocommons.com/events/6946005fea69de6e001069c1,yes,"Join Librarian Heidi on Friday mornings at 10:30AM for Family Storytime at Downtown Library. Come sing, rhyme, and read stories with us! While this storytime will be geared towards those older than 2 years, all ages are welcome!

 Make sure to follow us on YouTube for more stories, songs and rhymes, including a playlist of all of our favorite songs to sing!"
2026-09-04,16:00,17:00,LEGO Fridays!,College Terrace Library,,"2300  Wellesley St., Palo Alto, CA 94306","0–2, 2–5, 5+",Build & Explore,Free,LEGOs stay at the library — snap a pic of creations!,Kids (6-11); Pre-schoolers (3-5); Toddlers (18 mos. to 3 yrs),https://paloalto.bibliocommons.com/events/6a25aace2ea730c17ab50489,yes,"We have the LEGOs! Bring your imagination and build something fun! In addition to being a great way to introduce the engineering and art concepts of STEAM, playing with LEGO’s supports early childhood development because children engage in problem solving, teamwork, self-confidence, and creativity!"
2026-09-05,10:30,11:00,Family Storytime,Mitchell Park Library,Midtown Room,"3700 Middlefield Rd, Palo Alto, CA 94303","0–2, 2–5",Stories,Free,,Babies (under 2); Pre-schoolers (3-5); Toddlers (18 mos. to 3 yrs),https://paloalto.bibliocommons.com/events/698e125a2a787a47a5e73be0,yes,"Join Librarian Juliana on Saturdays from 10:30-11 AM at Mitchell Park Library for Family Storytime! Come sing, rhyme, and read stories with us!

 Make sure to follow us on YouTube for more stories, songs and rhymes, including a playlist of all of our favorite songs to sing!"
2026-09-07,,,CLOSED: Labor Day,,,,"0–2, 2–5, 5+",Other,Free,,Adults; Babies (under 2); Kids (6-11); Pre-schoolers (3-5); Seniors; Teens (14-18); Toddlers (18 mos. to 3 yrs); Tweens (11-13),https://paloalto.bibliocommons.com/events/68cc73ae6df9ca153ebb5f41,no,"All Palo Alto City libraries will be closed on Monday, September 7 for Labor Day.

 Our eLibrary is open 24/7!"
2026-09-08,10:30,11:00,Family Storytime: Meet a JMZ Animal Ambassador!,Children's Library,Treetop Room,"1276  Harriet Street, Palo Alto, CA 94301",2–5,Stories,Free,,Babies (under 2); Kids (6-11); Pre-schoolers (3-5); Toddlers (18 mos. to 3 yrs),https://paloalto.bibliocommons.com/events/699f624cb0595799c09f604c,yes,"Join Librarian Jennifer (and Rocky Raccoon) on Tuesday, September 8, 2026 at 10:30 AM for a special edition of our Family Storytime: we're expecting a visitor from Palo Alto Junior Museum and Zoo! You'll meet our feathered friend and learn all about her at the beginning of the program, then we'll send her back to the zoo with some of our favorite songs, stories, and rhymes. While this storytime will be geared towards those older than 2 years, all ages are welcome.

 To accommodate our special guest, this storytime will be held indoors in our Treetop Room. Please arrive on time, as space may be limited.

 Make sure to follow us on YouTube for more stories, songs and rhymes, including a playlist of all of our favorite songs to sing!"
2026-09-08,16:00,17:00,LEGO Tuesdays!,Downtown Library,El Camino Room,"270 Forest Ave., Palo Alto, CA 94301","0–2, 2–5, 5+",Build & Explore,Free,LEGOs stay at the library — snap a pic of creations!,Kids (6-11); Pre-schoolers (3-5); Toddlers (18 mos. to 3 yrs); Tweens (11-13),https://paloalto.bibliocommons.com/events/68afa7b0022de53d00d27177,yes,"We have the LEGOs! Bring your imagination and build something fun! In addition to being a great way to introduce the engineering and art concepts of STEAM, playing with LEGO’s supports early childhood development because children engage in problem solving, teamwork, self-confidence, and creativity!"
2026-09-09,10:30,11:00,Little Ones Storytime,Children's Library,Treetop Room,"1276  Harriet Street, Palo Alto, CA 94301",0–2,Stories,Free,,Babies (under 2); Toddlers (18 mos. to 3 yrs),https://paloalto.bibliocommons.com/events/6946001eea69de6e001069ae,yes,"Join Librarian Heidi on Wednesday mornings at 10:30AM for Little Ones Storytime at Children's Library. Storytime includes a variety of early literacy activities such as stories, songs, rhymes, and movement activities. Storytime is a fun and interactive experience for the whole family that promotes the joys of reading and learning for all ages."
2026-09-09,18:30,19:15,Music & Movement,Mitchell Park Library,,"3700 Middlefield Rd, Palo Alto, CA 94303","0–2, 2–5, 5+",Stories,Free,,Babies (under 2); Kids (6-11); Pre-schoolers (3-5); Toddlers (18 mos. to 3 yrs),https://paloalto.bibliocommons.com/events/6a3dbc0bfddb082f00fe149b,yes,"Bring your dancing feet to the Mitchell Park Library on Wednesday evenings for Music & Movement with Librarian Celina. Build early literacy skills through movement, songs, and dance.

 Instruments, songs, and dance moves will all be introduced so that everyone will be able to enjoy moving along to the music.

 This program is meant for families with children and no previous experience is needed!

On September 2 and 9, we'll be celebrating Deaf Awareness Month by learning simple signs for families to practice together!"
2026-09-10,10:30,11:00,Bilingual Family Storytime,College Terrace Library,,"2300  Wellesley St., Palo Alto, CA 94306","0–2, 2–5",Stories,Free,Storytime may be held indoors or outdoors depending on the weather.,Babies (under 2); Pre-schoolers (3-5); Toddlers (18 mos. to 3 yrs),https://paloalto.bibliocommons.com/events/69276b597eb3e430002638b0,yes,"Join Señorita Juliana for Bilingual Family Storytime at the College Terrace Library! Enjoy stories, songs, rhymes, and movement activities in Spanish and English . Thursdays from 10:30-11 AM. Follow us on YouTube for more stories, songs, and rhymes, including a playlist of our favorites! ¡Participa con la Señorita Juliana en la Hora Cuentos Bilingüe en la Biblioteca College Terrace! Disfruta de cuentos, canciones, rimas y actividades con movimiento en Español e Inglés . Jueves de 10:30-11 AM. La Hora de Cuentos se realizará adentro o al aire libre, dependiendo del clima. ¡Síguenos en YouTube para ver más cuentos, canciones y rimas, incluyendo una lista de reproducción con nuestros favoritos!"
2026-09-11,10:30,11:00,Family Storytime,Downtown Library,El Camino Room,"270 Forest Ave., Palo Alto, CA 94301",2–5,Stories,Free,,Babies (under 2); Kids (6-11); Pre-schoolers (3-5),https://paloalto.bibliocommons.com/events/6946005fea69de6e001069c2,yes,"Join Librarian Heidi on Friday mornings at 10:30AM for Family Storytime at Downtown Library. Come sing, rhyme, and read stories with us! While this storytime will be geared towards those older than 2 years, all ages are welcome!

 Make sure to follow us on YouTube for more stories, songs and rhymes, including a playlist of all of our favorite songs to sing!"
2026-09-11,16:00,17:00,LEGO Fridays!,College Terrace Library,,"2300  Wellesley St., Palo Alto, CA 94306","0–2, 2–5, 5+",Build & Explore,Free,LEGOs stay at the library — snap a pic of creations!,Kids (6-11); Pre-schoolers (3-5); Toddlers (18 mos. to 3 yrs),https://paloalto.bibliocommons.com/events/6a25aace2ea730c17ab5048a,yes,"We have the LEGOs! Bring your imagination and build something fun! In addition to being a great way to introduce the engineering and art concepts of STEAM, playing with LEGO’s supports early childhood development because children engage in problem solving, teamwork, self-confidence, and creativity!"
2026-09-12,10:30,11:00,Family Storytime,Mitchell Park Library,Midtown Room,"3700 Middlefield Rd, Palo Alto, CA 94303","0–2, 2–5",Stories,Free,,Babies (under 2); Pre-schoolers (3-5); Toddlers (18 mos. to 3 yrs),https://paloalto.bibliocommons.com/events/698e125a2a787a47a5e73be1,yes,"Join Librarian Juliana on Saturdays from 10:30-11 AM at Mitchell Park Library for Family Storytime! Come sing, rhyme, and read stories with us!

 Make sure to follow us on YouTube for more stories, songs and rhymes, including a playlist of all of our favorite songs to sing!"
2026-09-15,10:30,11:00,Family Storytime,Children's Library,Secret Garden,"1276  Harriet Street, Palo Alto, CA 94301",2–5,Stories,Free,"Please note that this storytime is an indoor/outdoor program.
Access to the Secret Garden outside is weather dependent.",Babies (under 2); Kids (6-11); Pre-schoolers (3-5); Toddlers (18 mos. to 3 yrs),https://paloalto.bibliocommons.com/events/699f624cb0595799c09f604d,yes,"Join Librarian Jennifer (and Rocky Raccoon) on Tuesdays at 10:30 AM for Family Storytime at Children's Library! Come sing, rhyme, and read stories with us! While this storytime will be geared towards those older than 2 years, all ages are welcome! Storytime will be held inside when the garden is unavailable. Make sure to follow us on YouTube for more stories, songs and rhymes, including a playlist of all of our favorite songs to sing!"
2026-09-15,16:00,17:00,LEGO Tuesdays!,Downtown Library,El Camino Room,"270 Forest Ave., Palo Alto, CA 94301","0–2, 2–5, 5+",Build & Explore,Free,LEGOs stay at the library — snap a pic of creations!,Kids (6-11); Pre-schoolers (3-5); Toddlers (18 mos. to 3 yrs); Tweens (11-13),https://paloalto.bibliocommons.com/events/68afa7b0022de53d00d27178,yes,"We have the LEGOs! Bring your imagination and build something fun! In addition to being a great way to introduce the engineering and art concepts of STEAM, playing with LEGO’s supports early childhood development because children engage in problem solving, teamwork, self-confidence, and creativity!"
2026-09-17,10:30,11:00,Bilingual Family Storytime: Celebrate Latine & Hispanic Heritage Month!,College Terrace Library,,"2300  Wellesley St., Palo Alto, CA 94306","0–2, 2–5",Stories,Free,Storytime may be held indoors or outdoors depending on the weather.,Babies (under 2); Pre-schoolers (3-5); Toddlers (18 mos. to 3 yrs),https://paloalto.bibliocommons.com/events/69276b597eb3e430002638b1,yes,"Join Señorita Juliana for Bilingual Family Storytime at the College Terrace Library! Enjoy stories, songs, rhymes, and movement activities in Spanish and English . Thursdays from 10:30-11 AM. Follow us on YouTube for more stories, songs, and rhymes, including a playlist of our favorites! ¡Participa con la Señorita Juliana en la Hora Cuentos Bilingüe en la Biblioteca College Terrace! Disfruta de cuentos, canciones, rimas y actividades con movimiento en Español e Inglés . Jueves de 10:30-11 AM. La Hora de Cuentos se realizará adentro o al aire libre, dependiendo del clima. ¡Síguenos en YouTube para ver más cuentos, canciones y rimas, incluyendo una lista de reproducción con nuestros favoritos!"
2026-09-18,10:30,11:00,Family Storytime,Downtown Library,El Camino Room,"270 Forest Ave., Palo Alto, CA 94301",2–5,Stories,Free,,Babies (under 2); Kids (6-11); Pre-schoolers (3-5),https://paloalto.bibliocommons.com/events/6946005fea69de6e001069c3,yes,"Join Librarian Heidi on Friday mornings at 10:30AM for Family Storytime at Downtown Library. Come sing, rhyme, and read stories with us! While this storytime will be geared towards those older than 2 years, all ages are welcome!

 Make sure to follow us on YouTube for more stories, songs and rhymes, including a playlist of all of our favorite songs to sing!"
2026-09-18,16:00,17:00,LEGO Fridays!,College Terrace Library,,"2300  Wellesley St., Palo Alto, CA 94306","0–2, 2–5, 5+",Build & Explore,Free,LEGOs stay at the library — snap a pic of creations!,Kids (6-11); Pre-schoolers (3-5); Toddlers (18 mos. to 3 yrs),https://paloalto.bibliocommons.com/events/6a25aace2ea730c17ab5048b,yes,"We have the LEGOs! Bring your imagination and build something fun! In addition to being a great way to introduce the engineering and art concepts of STEAM, playing with LEGO’s supports early childhood development because children engage in problem solving, teamwork, self-confidence, and creativity!"
2026-09-19,10:30,11:00,Family Storytime,Mitchell Park Library,Midtown Room,"3700 Middlefield Rd, Palo Alto, CA 94303","0–2, 2–5",Stories,Free,,Babies (under 2); Pre-schoolers (3-5); Toddlers (18 mos. to 3 yrs),https://paloalto.bibliocommons.com/events/698e125a2a787a47a5e73be2,yes,"Join Librarian Juliana on Saturdays from 10:30-11 AM at Mitchell Park Library for Family Storytime! Come sing, rhyme, and read stories with us!

 Make sure to follow us on YouTube for more stories, songs and rhymes, including a playlist of all of our favorite songs to sing!"
2026-09-22,10:30,11:00,Family Storytime,Children's Library,Secret Garden,"1276  Harriet Street, Palo Alto, CA 94301",2–5,Stories,Free,"Please note that this storytime is an indoor/outdoor program.
Access to the Secret Garden outside is weather dependent.",Babies (under 2); Kids (6-11); Pre-schoolers (3-5); Toddlers (18 mos. to 3 yrs),https://paloalto.bibliocommons.com/events/699f624cb0595799c09f604e,yes,"Join Librarian Jennifer (and Rocky Raccoon) on Tuesdays at 10:30 AM for Family Storytime at Children's Library! Come sing, rhyme, and read stories with us! While this storytime will be geared towards those older than 2 years, all ages are welcome! Storytime will be held inside when the garden is unavailable. Make sure to follow us on YouTube for more stories, songs and rhymes, including a playlist of all of our favorite songs to sing!"
