date,startTime,endTime,title,venue,room,address,city,ageRange,types,cost,tips,audiences,eventUrl,alreadyOnPuddles,source,description
2026-09-06,10:30,10:30,Outdoor Storytime,Linden Tree Books,,"265 State Street, Los Altos, CA 94022",Los Altos,All ages · Little ones welcome,Stories; Outdoor,Free,"Weekly · Sundays in front of the store — guest authors sometimes fill this slot; check the Linden Tree calendar.
Manresa Bread next door if you want a treat.",,https://www.lindentreebooks.com/events-calendar/,yes,Calendar Watchlist · Linden Tree Books,Join us every Sunday morning at 10:30am in front of the store as one of our booksellers (or perhaps a local author) shares some of their favorite read-alouds. All storytimes feature picture books and are appropriate for all ages.
2026-09-13,10:30,10:30,"Storytime with Jasmine Fang , Beneath the Same Round Moon",Linden Tree Books,,"265 State Street, Los Altos, CA 94022",Los Altos,All ages · Little ones welcome,Stories; Outdoor,Free,"In front of the store · picture books for little ones and their grown-ups.
Manresa Bread next door if you want a treat.",,https://www.lindentreebooks.com/events-calendar/,yes,Calendar Watchlist · Linden Tree Books,"Storytime with Jasmine Fang , Beneath the Same Round Moon — outdoor Sunday storytime at Linden Tree Books in front of the store."
2026-09-20,10:30,10:30,"Storytime with Melissa Koch , Stone by Stone",Linden Tree Books,,"265 State Street, Los Altos, CA 94022",Los Altos,All ages · Little ones welcome,Stories; Outdoor,Free,"In front of the store · picture books for little ones and their grown-ups.
Manresa Bread next door if you want a treat.",,https://www.lindentreebooks.com/events-calendar/,yes,Calendar Watchlist · Linden Tree Books,"Storytime with Melissa Koch , Stone by Stone — outdoor Sunday storytime at Linden Tree Books in front of the store."
2026-09-27,10:30,10:30,"Storytime with Isabella Kung , Jia Has a Dog Problem",Linden Tree Books,,"265 State Street, Los Altos, CA 94022",Los Altos,All ages · Little ones welcome,Stories; Outdoor,Free,"In front of the store · picture books for little ones and their grown-ups.
Manresa Bread next door if you want a treat.",,https://www.lindentreebooks.com/events-calendar/,yes,Calendar Watchlist · Linden Tree Books,"Storytime with Isabella Kung , Jia Has a Dog Problem — outdoor Sunday storytime at Linden Tree Books in front of the store."
2026-10-04,10:30,10:30,Outdoor Storytime,Linden Tree Books,,"265 State Street, Los Altos, CA 94022",Los Altos,All ages · Little ones welcome,Stories; Outdoor,Free,"Weekly · Sundays in front of the store — guest authors sometimes fill this slot; check the Linden Tree calendar.
Manresa Bread next door if you want a treat.",,https://www.lindentreebooks.com/events-calendar/,yes,Calendar Watchlist · Linden Tree Books,Join us every Sunday morning at 10:30am in front of the store as one of our booksellers (or perhaps a local author) shares some of their favorite read-alouds. All storytimes feature picture books and are appropriate for all ages.
2026-10-11,10:30,10:30,Outdoor Storytime,Linden Tree Books,,"265 State Street, Los Altos, CA 94022",Los Altos,All ages · Little ones welcome,Stories; Outdoor,Free,"Weekly · Sundays in front of the store — guest authors sometimes fill this slot; check the Linden Tree calendar.
Manresa Bread next door if you want a treat.",,https://www.lindentreebooks.com/events-calendar/,yes,Calendar Watchlist · Linden Tree Books,Join us every Sunday morning at 10:30am in front of the store as one of our booksellers (or perhaps a local author) shares some of their favorite read-alouds. All storytimes feature picture books and are appropriate for all ages.
2026-10-18,10:30,10:30,Outdoor Storytime,Linden Tree Books,,"265 State Street, Los Altos, CA 94022",Los Altos,All ages · Little ones welcome,Stories; Outdoor,Free,"Weekly · Sundays in front of the store — guest authors sometimes fill this slot; check the Linden Tree calendar.
Manresa Bread next door if you want a treat.",,https://www.lindentreebooks.com/events-calendar/,yes,Calendar Watchlist · Linden Tree Books,Join us every Sunday morning at 10:30am in front of the store as one of our booksellers (or perhaps a local author) shares some of their favorite read-alouds. All storytimes feature picture books and are appropriate for all ages.
2026-10-25,10:30,10:30,Outdoor Storytime,Linden Tree Books,,"265 State Street, Los Altos, CA 94022",Los Altos,All ages · Little ones welcome,Stories; Outdoor,Free,"Weekly · Sundays in front of the store — guest authors sometimes fill this slot; check the Linden Tree calendar.
Manresa Bread next door if you want a treat.",,https://www.lindentreebooks.com/events-calendar/,yes,Calendar Watchlist · Linden Tree Books,Join us every Sunday morning at 10:30am in front of the store as one of our booksellers (or perhaps a local author) shares some of their favorite read-alouds. All storytimes feature picture books and are appropriate for all ages.
2026-11-01,10:30,10:30,Outdoor Storytime,Linden Tree Books,,"265 State Street, Los Altos, CA 94022",Los Altos,All ages · Little ones welcome,Stories; Outdoor,Free,"Weekly · Sundays in front of the store — guest authors sometimes fill this slot; check the Linden Tree calendar.
Manresa Bread next door if you want a treat.",,https://www.lindentreebooks.com/events-calendar/,yes,Calendar Watchlist · Linden Tree Books,Join us every Sunday morning at 10:30am in front of the store as one of our booksellers (or perhaps a local author) shares some of their favorite read-alouds. All storytimes feature picture books and are appropriate for all ages.
2026-11-08,10:30,10:30,Outdoor Storytime,Linden Tree Books,,"265 State Street, Los Altos, CA 94022",Los Altos,All ages · Little ones welcome,Stories; Outdoor,Free,"Weekly · Sundays in front of the store — guest authors sometimes fill this slot; check the Linden Tree calendar.
Manresa Bread next door if you want a treat.",,https://www.lindentreebooks.com/events-calendar/,no,Calendar Watchlist · Linden Tree Books,Join us every Sunday morning at 10:30am in front of the store as one of our booksellers (or perhaps a local author) shares some of their favorite read-alouds. All storytimes feature picture books and are appropriate for all ages.
